STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,nrg_bal,Energy balance,siec,Standard international energy product classification (SIEC),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,EL,Greece,2014,,15694.015,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,EL,Greece,2015,,16546.162,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,EL,Greece,2016,,16871.347,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,EL,Greece,2017,,16676.140,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,EL,Greece,2018,,15797.251,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,EL,Greece,2019,,16403.850,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,EL,Greece,2020,,14545.707,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,EL,Greece,2021,,14990.137,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,EL,Greece,2022,,15606.261,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,EL,Greece,2023,,15160.023,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,ES,Spain,2014,,77407.781,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,ES,Spain,2015,,79713.020,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,ES,Spain,2016,,82151.026,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,ES,Spain,2017,,86137.132,,,,,
dataflow,ESTAT:NRG_BAL_C$DEFAULTVIEW(1.0),Complete energy balances,A,Annual,AFC,Available for final consumption,TOTAL,Total,KTOE,Thousand tonnes of oil equivalent,ES,Spain,2018,,87967.519,,,,,
