year,country,energy_balance,Sum of all coal products,Sum of all fuel products,Sum of all peat products,Sum of all petroleum products,Sum of all renewable energies
1993,Ireland,"Public services- Water Supply, Sewerage, and Waste Management",0,0,0,0,0
1993,Ireland,Residential,476,2209,612,468,33
1993,Ireland,Statistical difference,0,0,0,3,0
1993,Ireland,Stock change,0,23,89,0,0
1993,Ireland,Sum of all commercial and public services,0,959,14,501,0
1993,Ireland,Sum of all exchanges and transfers,0,0,0,0,0
1993,Ireland,Sum of all industry sub-sectors,134,1819,0,800,60
1993,Ireland,Sum of all transformation input,1361,5631,761,2509,0
1993,Ireland,Sum of all transformation output,0,3441,161,1939,0
1993,Ireland,Sum of all transport,0,2300,0,2298,0
1993,Ireland,Total final energy consumption,610,7591,626,4332,94
1993,Ireland,Transformation input- briquetting plants,0,188,188,0,0
1993,Ireland,Transformation input- combined heat and power plants,4,46,8,4,0
1993,Ireland,Transformation input- oil refineries and other energy sectors,0,1947,0,1939,0
1993,Ireland,Transformation input- public thermal power plants,1357,3420,565,567,0
1993,Ireland,Transformation input- pumped storage consumption,0,30,0,0,0
1993,Ireland,Transformation output- briquetting plants,0,161,161,0,0
1993,Ireland,Transformation output- combined heat and power plants- electricity,0,18,0,0,0
1993,Ireland,Transformation output- combined heat and power plants- heat,0,0,0,0,0
1993,Ireland,Transformation output- oil refineries,0,1939,0,1939,0
1993,Ireland,Transformation output- public thermal power plants,0,1303,0,0,0
1993,Ireland,Transformation output- pumped storage consumption,0,21,0,0,0
1993,Ireland,Transport - navigation,0,8,0,8,0
1993,Ireland,Transport- Sum of all aviation transport,0,461,0,461,0
1993,Ireland,Transport- domestic aviation,0,12,0,12,0
1993,Ireland,Transport- fuel tourism,0,0,0,0,0
1993,Ireland,Transport- international aviation,0,449,0,449,0
1993,Ireland,Transport- rail,0,43,0,42,0
1993,Ireland,Transport- road freight,0,353,0,353,0
1993,Ireland,Transport- road light goods vehicle,0,0,0,0,0
1993,Ireland,Transport- road private car,0,1054,0,1054,0
1993,Ireland,Transport- road public passenger services,0,59,0,59,0
1993,Ireland,Transport- sum of all road transport,0,1465,0,1465,0
1993,Ireland,"Transport- unspecified (excluding road, rail and aviation)",0,322,0,322,0
1994,Ireland,Agricultural,0,301,0,259,0
1994,Ireland,Available final energy consumption,331,8394,603,4919,93
1994,Ireland,Commercial services,0,587,0,298,0
1994,Ireland,Commercial services- Accommodation and Food Services,0,0,0,0,0
1994,Ireland,"Commercial services- Financial, Insurance and Real Estate Activities",0,0,0,0,0
1994,Ireland,Commercial services- Information and Communication,0,0,0,0,0
1994,Ireland,Commercial services- Other Services Sectors,0,0,0,0,0
1994,Ireland,Commercial services- Transportation and Storage,0,0,0,0,0
1994,Ireland,"Commercial services- Wholesale, Retail, and Vehicle Repair",0,0,0,0,0
1994,Ireland,Exchanges and transfers- electricity,0,0,0,0,0
1994,Ireland,Exchanges and transfers- heat,0,0,0,0,0
1994,Ireland,Exchanges and transfers- other (excluding electricity and heat),0,0,0,0,0
1994,Ireland,Exports,10,1059,5,1044,0
1994,Ireland,Final non energy consumption feedstocks,0,608,0,149,0
1994,Ireland,Fisheries,0,38,0,38,0
1994,Ireland,Imports,1553,8221,0,6665,0
1994,Ireland,Indigenous production,1,3565,1192,0,174
1994,Ireland,Industry- basic metals and fabricated metal products,0,429,0,381,0
1994,Ireland,Industry- chemicals and man-made fibres,0,208,0,61,0
1994,Ireland,Industry- construction,0,62,0,46,0
1994,Ireland,Industry- electrical and optical equipment,2,140,0,52,0
1994,Ireland,Industry- food and beverages,13,465,0,227,2
1994,Ireland,Industry- machinery and equipment n.e.c,0,46,0,30,0
1994,Ireland,Industry- non energy mining,0,123,0,68,0
1994,Ireland,Industry- other manufacturing,0,64,0,6,0
1994,Ireland,Industry- other non-metallic mineral products,32,173,0,62,0
1994,Ireland,"Industry- pulp, paper, publishing and printing",0,37,0,9,0
1994,Ireland,Industry- rubber and plastic products,0,37,0,12,0
1994,Ireland,Industry- textiles and textile products,5,47,0,30,0
1994,Ireland,Industry- transport equipment manufacture,0,12,0,5,0
1994,Ireland,Industry- wood and wood products,0,86,0,7,59
1994,Ireland,Mar. bunkers,0,39,0,39,0
1994,Ireland,Non-energy consumption,0,608,0,149,0
1994,Ireland,Own use and distribution losses,0,305,6,65,0
1994,Ireland,Primary energy requirement excluding non energy,1733,10389,1208,5534,174
1994,Ireland,Primary energy supply including non energy,1733,10997,1208,5683,174
1994,Ireland,Public services,0,421,11,229,0
1994,Ireland,Public services- Education,0,0,0,0,0
1994,Ireland,"Public services- Health, Residential Care and Social Work Activities",0,0,0,0,0
1994,Ireland,Public services- Public Administration,0,0,0,0,0
1994,Ireland,"Public services- Water Supply, Sewerage, and Waste Management",0,0,0,0,0
1994,Ireland,Residential,338,2260,611,625,32
1994,Ireland,Statistical difference,0,0,0,5,0
1994,Ireland,Stock change,189,309,22,101,0
1994,Ireland,Sum of all commercial and public services,0,1008,11,527,0
1994,Ireland,Sum of all exchanges and transfers,0,0,0,0,0
1994,Ireland,Sum of all industry sub-sectors,52,1930,0,995,62
1994,Ireland,Sum of all transformation input,1402,6175,763,3023,0
1994,Ireland,Sum of all transformation output,0,3878,164,2325,0
1994,Ireland,Sum of all transport,0,2324,0,2323,0
1994,Ireland,Total final energy consumption,390,7861,622,4766,93
1994,Ireland,Transformation input- briquetting plants,0,177,177,0,0
1994,Ireland,Transformation input- combined heat and power plants,4,48,9,4,0
1994,Ireland,Transformation input- oil refineries and other energy sectors,0,2377,0,2369,0
1994,Ireland,Transformation input- public thermal power plants,1398,3540,576,651,0
1994,Ireland,Transformation input- pumped storage consumption,0,33,0,0,0
1994,Ireland,Transformation output- briquetting plants,0,164,164,0,0
1994,Ireland,Transformation output- combined heat and power plants- electricity,0,19,0,0,0
1994,Ireland,Transformation output- combined heat and power plants- heat,0,0,0,0,0
1994,Ireland,Transformation output- oil refineries,0,2325,0,2325,0
1994,Ireland,Transformation output- public thermal power plants,0,1346,0,0,0
1994,Ireland,Transformation output- pumped storage consumption,0,24,0,0,0
1994,Ireland,Transport - navigation,0,8,0,8,0
1994,Ireland,Transport- Sum of all aviation transport,0,410,0,410,0
1994,Ireland,Transport- domestic aviation,0,13,0,13,0
1994,Ireland,Transport- fuel tourism,0,6,0,6,0
1994,Ireland,Transport- international aviation,0,398,0,398,0
1994,Ireland,Transport- rail,0,41,0,39,0
1994,Ireland,Transport- road freight,0,353,0,353,0
1994,Ireland,Transport- road light goods vehicle,0,0,0,0,0
1994,Ireland,Transport- road private car,0,1114,0,1114,0
1994,Ireland,Transport- road public passenger services,0,59,0,59,0
1994,Ireland,Transport- sum of all road transport,0,1526,0,1526,0
1994,Ireland,"Transport- unspecified (excluding road, rail and aviation)",0,334,0,334,0
1995,Ireland,Agricultural,0,340,0,297,0
